date,data,url,,
2017-03-28,"HSBC upgrades Bharat Forge to buy, raises target price",https://economictimes.indiatimes.com/markets/stocks/news/hsbc-upgrades-bharat-forge-to-buy-raises-target-price/articleshow/57870151.cms,,
2016-08-17,"Buy Bharat Forge, target Rs 858.0 :  Microsec Capital Ltd",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-target-rs-8580-microsec-capital-ltd/articleshow/53736922.cms,,
2013-09-18,Sundaram Trading buys 25 lakh shares of Bharat Forge for Rs 65 cr,https://economictimes.indiatimes.com/markets/stocks/stocks-in-news/sundaram-trading-buys-25-lakh-shares-of-bharat-forge-for-rs-65-cr/articleshow/22715526.cms,,
2015-09-16,Bharat Forge still a good buy at present levels: Prakash Diwan,https://economictimes.indiatimes.com/markets/stocks/recos/bharat-forge-still-a-good-buy-at-present-levels-prakash-diwan/articleshow/48981535.cms,,
2016-02-05,"Motherson Sumi, Bharat Forge going through pain: Mayuresh Joshi",https://economictimes.indiatimes.com/markets/stocks/recos/motherson-sumi-bharat-forge-going-through-pain-mayuresh-joshi/articleshow/50851574.cms,,
2017-01-17,"Buy  Bharat Forge, target Rs  1025  :   ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-target-rs-1025-icici-direct/articleshow/56619541.cms,,
2014-03-03,Buy Bharat Forge with target price of Rs 400: Prakash Gaba,https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-with-target-price-of-rs-400-prakash-gaba/articleshow/31327666.cms,,
2014-09-19,"Recommend Motherson Sumi, Bharat Forge in auto ancillary space: Mayuresh Joshi",https://economictimes.indiatimes.com/markets/stocks/recos/recommend-motherson-sumi-bharat-forge-in-auto-ancillary-space-mayuresh-joshi/articleshow/42899651.cms,,
2012-03-11,"Budget 2012: Uniform GST will improve GDP, says Baba Kalyani, Bharat Forge",https://economictimes.indiatimes.com/opinion/interviews/budget-2012-uniform-gst-will-improve-gdp-says-baba-kalyani-bharat-forge/articleshow/12218937.cms,,
2014-09-11,"Motherson Sumi doing well, expect Bharat Forge too to join the band: Anand Tandon",https://economictimes.indiatimes.com/markets/stocks/recos/motherson-sumi-doing-well-expect-bharat-forge-too-to-join-the-band-anand-tandon/articleshow/42267654.cms,,
2012-06-11,Bharat Forge may buy significant stake in Shanthi Gears,https://economictimes.indiatimes.com/news/news-by-industry/indl-goods/svs/engineering/bharat-forge-may-buy-significant-stake-in-shanthi-gears/articleshow/14005209.cms,,
2014-11-06,"Bharat Forge, Bharti Infra may make it to MSCI India",https://economictimes.indiatimes.com/industry/auto/news/auto-finance/bharat-forge-bharti-infra-may-make-it-to-msci-india/articleshow/45053875.cms,,
