date,data,url,
2016-07-27,"Government should spend more and go beyond 3.5% target: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/markets/expert-view/government-should-spend-more-and-go-beyond-35-target-madan-sabnavis-care-ratings/articleshow/53413916.cms,
2016-02-01,Indian manufacturing companies improve performance in Q3: CARE Ratings,https://economictimes.indiatimes.com/news/economy/indicators/indian-manufacturing-companies-improve-performance-in-q3-care-ratings/articleshow/50807669.cms,
2014-02-10,"Buyout PE funds like Actis, Apax Partners in race to take control of CARE ratings",https://economictimes.indiatimes.com/industry/banking/finance/buyout-pe-funds-like-actis-apax-partners-in-race-to-take-control-of-care-ratings/articleshow/30129536.cms,
2016-07-25,"First quarter credit quality was the poorest in two years, says CARE Ratings",https://economictimes.indiatimes.com/news/economy/finance/first-quarter-credit-quality-was-the-poorest-in-two-years-says-care-ratings/articleshow/53378964.cms,
2016-02-13,"Government compunding problems by tackling banks' NPA issues now: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/markets/expert-view/government-compunding-problems-by-tackling-banks-npa-issues-now-madan-sabnavis-care-ratings/articleshow/50959229.cms,
2014-05-05,Credit Analysis & Research gets nod for hiking FII stake limit,https://economictimes.indiatimes.com/industry/banking/finance/credit-analysis-research-gets-nod-for-hiking-fii-stake-limit/articleshow/34695984.cms,
2015-02-19,"Expect Govt to target 8% GDP growth for next year: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/expect-govt-to-target-8-gdp-growth-for-next-year-madan-sabnavis-care-ratings/articleshow/46298403.cms,
2015-07-16,"Weaker rupee won't help exports much unless global economy recovers: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/weaker-rupee-wont-help-exports-much-unless-global-economy-recovers-madan-sabnavis-care-ratings/articleshow/48097395.cms,
2014-12-05,"See reversal of interest rates irrespective of what RBI does: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/see-reversal-of-interest-rates-irrespective-of-what-rbi-does-madan-sabnavis-care-ratings/articleshow/45383985.cms,
2016-08-02,CARE Ratings reaffirms credit rating of Indiabulls Real Estate,https://economictimes.indiatimes.com/markets/stocks/news/care-ratings-reaffirms-credit-rating-of-indiabulls-real-estate/articleshow/53509294.cms,
2015-09-24,"GMR, SREI Infra drop as CARE Ratings cuts ratings for long-term loans",https://economictimes.indiatimes.com/markets/stocks/news/gmr-srei-infra-drop-as-care-ratings-cuts-ratings-for-long-term-loans/articleshow/49085425.cms,
2015-05-08,"Care Ratings sees rupee falling to 65, forcing RBI governor Raghuram Rajan to hold rates in June",https://economictimes.indiatimes.com/markets/forex/care-ratings-sees-rupee-falling-to-65-forcing-rbi-governor-raghuram-rajan-to-hold-rates-in-june/articleshow/47206521.cms,
2011-12-08,People's participation can find solution to Naxalism: Arjun Munda,https://economictimes.indiatimes.com/news/politics/nation/peopleamp39s-participation-can-find-solution-to-naxalism-arjun-munda/articleshow/11030043.cms,
2013-11-21,"India to retain top rice exporter rank, says CARE Ratings",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-to-retain-top-rice-exporter-rank-says-care-ratings/articleshow/26162316.cms,
2013-10-08,"Reduction in MSF rates is good news for banks: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/reduction-in-msf-rates-is-good-news-for-banks-madan-sabnavis-care-ratings/articleshow/23727667.cms,
2012-12-03,"We have plans to go international now: DR Dogra, MD, Care Ratings",https://economictimes.indiatimes.com/markets/ipos/fpos/rights-issues/we-have-plans-to-go-international-now-dr-dogra-md-care-ratings/articleshow/17465101.cms,
2012-10-23,"Growth will remain subdued for rest of the year: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/growth-will-remain-subdued-for-rest-of-the-year-madan-sabnavis-care-ratings/articleshow/16927065.cms,
2017-06-14,"All our econometric models which we draw for projecting inflation have gone for a toss: Madan Sabnavis, Chief Economist, CARE Ratings.",https://economictimes.indiatimes.com/markets/expert-view/all-our-econometric-models-which-we-draw-for-projecting-inflation-have-gone-for-a-toss-madan-sabnavis-chief-economist-care-ratings/articleshow/59143818.cms,
2014-05-23,Poor demand shaves off top companies' profit, margin by 37% in FY14: Care Ratings,https://economictimes.indiatimes.com/markets/stocks/earnings/poor-demand-shaves-off-top-companies-profit-margin-by-37-in-fy14-care-ratings/articleshow/35522010.cms
2015-05-14,RBI may cut rates by 0.25 percentage points in policy review: Care Ratings,https://economictimes.indiatimes.com/news/economy/finance/rbi-may-cut-rates-by-025-percentage-points-in-policy-review-care-ratings/articleshow/47286452.cms,
2014-12-12,"Need to revive manufacturing sector in India: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/need-to-revive-manufacturing-sector-in-india-madan-sabnavis-care-ratings/articleshow/45492342.cms,
2016-03-02,"RBI could have changed the capital norms earlier also: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/markets/expert-view/rbi-could-have-changed-the-capital-norms-earlier-also-madan-sabnavis-care-ratings/articleshow/51222992.cms,
2014-09-08,"Don’t expect any change in sovereign rating of India: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/dont-expect-any-change-in-sovereign-rating-of-india-madan-sabnavis-care-ratings/articleshow/42027109.cms,
2015-09-13,Agricultural scenario looks fairly stable: CARE Ratings,https://economictimes.indiatimes.com/news/economy/agriculture/agricultural-scenario-looks-fairly-stable-care-ratings/articleshow/48943771.cms,
2012-02-28,India likely to suffer from crude shock if oil prices continue to rise: Care Ratings,https://economictimes.indiatimes.com/news/economy/indicators/india-likely-to-suffer-from-crude-shock-if-oil-prices-continue-to-rise-care-ratings/articleshow/12071195.cms,
2015-11-19,African banks to buy 22% stake in CARE Ratings' Mauritius arm,https://economictimes.indiatimes.com/industry/banking/finance/banking/african-banks-to-buy-22-stake-in-care-ratings-mauritius-arm/articleshow/49846331.cms,
2015-07-06,"Vyapam scam: Only SC-monitored probe can find out truth, says Congress",https://economictimes.indiatimes.com/news/politics-and-nation/vyapam-scam-only-sc-monitored-probe-can-find-out-truth-says-congress/articleshow/47951869.cms,
2016-08-24,"Investment intentions up, but too early to term upturn: Care Ratings",https://economictimes.indiatimes.com/news/economy/indicators/investment-intentions-up-but-too-early-to-term-upturn-care-ratings/articleshow/53846262.cms,
2013-12-11,"PSU, private banks NPA ratio may jump to 4.5 per cent by March: Care Ratings",https://economictimes.indiatimes.com/news/economy/finance/psu-private-banks-npa-ratio-may-jump-to-45-per-cent-by-march-care-ratings/articleshow/27225533.cms,
